critical_ratio,resonance_ratio,pitch_lambda,orbit_shift,branch,amplitude_ratio_fow_over_zow,eta_sd_zow,eta_maxwell_zow,eta_sd_fow,eta_maxwell_fow,distribution_gap_zow,distribution_gap_fow,orbit_gap_sd,orbit_gap_maxwell,orbit_shift_exceeds_distribution_gap,signed_interaction
0.31,0.5,0.18,0.8,1,1.4365083404700405,1.2113107351202588,1.071351201948552,0.9904476829705657,0.850488149798859,0.13995953317170673,0.13995953317170673,0.22086305214969304,0.22086305214969304,True,0.0
0.31,0.5,0.18,0.9,-1,0.6653165535472833,1.2113107351202588,1.071351201948552,1.4597816687886636,1.3198221356169568,0.13995953317170673,0.13995953317170673,0.24847093366840478,0.24847093366840478,True,0.0
0.31,0.5,0.18,0.9,1,1.5030439189710183,1.2113107351202588,1.071351201948552,0.962839801451854,0.8228802682801473,0.13995953317170673,0.13995953317170673,0.24847093366840478,0.24847093366840478,True,0.0
0.31,0.5,0.18,1.0,-1,0.6358648381197989,1.2113107351202588,1.071351201948552,1.487389550307375,1.3474300171356683,0.13995953317170673,0.13995953317170673,0.2760788151871163,0.2760788151871163,True,0.0
0.31,0.5,0.18,1.0,1,1.572661263920363,1.2113107351202588,1.071351201948552,0.9352319199331425,0.7952723867614357,0.13995953317170673,0.13995953317170673,0.2760788151871163,0.2760788151871163,True,0.0
0.31,0.5,0.27,0.0,-1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.27,0.0,1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.27,0.1,-1,0.9581796248664459,1.2113107351202588,1.071351201948552,1.2405710219192914,1.1006114887475846,0.13995953317170673,0.13995953317170673,0.029260286799032587,0.029260286799032587,False,0.0
0.31,0.5,0.27,0.1,1,1.0436456527025224,1.2113107351202588,1.071351201948552,1.1820504483212262,1.0420909151495195,0.13995953317170673,0.13995953317170673,0.029260286799032587,0.029260286799032587,False,0.0
0.31,0.5,0.27,0.2,-1,0.918108193509203,1.2113107351202588,1.071351201948552,1.2698313087183242,1.1298717755466172,0.13995953317170673,0.13995953317170695,0.058520573598065395,0.05852057359806517,False,2.220446049250313e-16
0.31,0.5,0.27,0.2,1,1.0891962484048738,1.2113107351202588,1.071351201948552,1.1527901615221934,1.0128306283504869,0.13995953317170673,0.1399595331717065,0.058520573598065395,0.05852057359806517,False,-2.220446049250313e-16
0.31,0.5,0.27,0.3,-1,0.8797125644434586,1.2113107351202588,1.071351201948552,1.2990915955173568,1.15913206234565,0.13995953317170673,0.13995953317170673,0.08778086039709798,0.08778086039709798,False,0.0
0.31,0.5,0.27,0.3,1,1.1367349295876432,1.2113107351202588,1.071351201948552,1.1235298747231608,0.9835703415514541,0.13995953317170673,0.13995953317170673,0.08778086039709798,0.08778086039709798,False,0.0
0.31,0.5,0.27,0.4,-1,0.8429226549887323,1.2113107351202588,1.071351201948552,1.3283518823163893,1.1883923491446826,0.13995953317170673,0.13995953317170673,0.11704114719613057,0.11704114719613057,False,0.0
0.31,0.5,0.27,0.4,1,1.1863484675392517,1.2113107351202588,1.071351201948552,1.0942695879241282,0.9543100547524215,0.13995953317170673,0.13995953317170673,0.11704114719613057,0.11704114719613057,False,0.0
0.31,0.5,0.27,0.5,-1,0.8076713133485321,1.2113107351202588,1.071351201948552,1.357612169115422,1.2176526359437152,0.13995953317170673,0.13995953317170673,0.14630143399516315,0.14630143399516315,True,0.0
0.31,0.5,0.27,0.5,1,1.2381274207376396,1.2113107351202588,1.071351201948552,1.0650093011250956,0.9250497679533889,0.13995953317170673,0.13995953317170673,0.14630143399516315,0.14630143399516315,True,0.0
0.31,0.5,0.27,0.6,-1,0.7738941960396862,1.2113107351202588,1.071351201948552,1.3868724559144545,1.246912922742748,0.13995953317170673,0.1399595331717065,0.17556172079419574,0.17556172079419596,True,-2.220446049250313e-16
0.31,0.5,0.27,0.6,1,1.2921663001446244,1.2113107351202588,1.071351201948552,1.035749014326063,0.8957894811543562,0.13995953317170673,0.13995953317170684,0.17556172079419574,0.17556172079419585,True,1.1102230246251565e-16
0.31,0.5,0.27,0.7,-1,0.7415296504476264,1.2113107351202588,1.071351201948552,1.4161327427134873,1.2761732095417806,0.13995953317170673,0.13995953317170673,0.20482200759322855,0.20482200759322855,True,0.0
0.31,0.5,0.27,0.7,1,1.3485637417146399,1.2113107351202588,1.071351201948552,1.0064887275270302,0.8665291943553236,0.13995953317170673,0.13995953317170662,0.20482200759322855,0.20482200759322844,True,-1.1102230246251565e-16
0.31,0.5,0.27,0.8,-1,0.7105186022932534,1.2113107351202588,1.071351201948552,1.44539302951252,1.3054334963408132,0.13995953317170673,0.13995953317170673,0.23408229439226114,0.23408229439226114,True,0.0
0.31,0.5,0.27,0.8,1,1.407422686432731,1.2113107351202588,1.071351201948552,0.9772284407279976,0.8372689075562909,0.13995953317170673,0.13995953317170673,0.23408229439226114,0.23408229439226114,True,0.0
0.31,0.5,0.27,0.9,-1,0.680804447805981,1.2113107351202588,1.071351201948552,1.4746533163115525,1.3346937831398458,0.13995953317170673,0.13995953317170673,0.2633425811912937,0.2633425811912937,True,0.0
0.31,0.5,0.27,0.9,1,1.4688505682104251,1.2113107351202588,1.071351201948552,0.947968153928965,0.8080086207572583,0.13995953317170673,0.13995953317170673,0.2633425811912937,0.2633425811912937,True,0.0
0.31,0.5,0.27,1.0,-1,0.6523329504061428,1.2113107351202588,1.071351201948552,1.5039136031105853,1.3639540699388784,0.13995953317170673,0.13995953317170695,0.29260286799032653,0.2926028679903263,True,2.220446049250313e-16
0.31,0.5,0.27,1.0,1,1.53295950998244,1.2113107351202588,1.071351201948552,0.9187078671299324,0.7787483339582256,0.13995953317170673,0.13995953317170673,0.2926028679903264,0.2926028679903264,True,0.0
0.31,0.5,0.36,0.0,-1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.36,0.0,1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.36,0.1,-1,0.9607894391523232,1.2113107351202588,1.071351201948552,1.2425607351202588,1.102601201948552,0.13995953317170673,0.13995953317170673,0.03125,0.03125,False,0.0
0.31,0.5,0.36,0.1,1,1.0408107741923882,1.2113107351202588,1.071351201948552,1.1800607351202588,1.040101201948552,0.13995953317170673,0.13995953317170673,0.03125,0.03125,False,0.0
0.31,0.5,0.36,0.2,-1,0.9231163463866358,1.2113107351202588,1.071351201948552,1.2738107351202588,1.133851201948552,0.13995953317170673,0.13995953317170673,0.0625,0.0625,False,0.0
0.31,0.5,0.36,0.2,1,1.0832870676749586,1.2113107351202588,1.071351201948552,1.1488107351202588,1.008851201948552,0.13995953317170673,0.13995953317170673,0.0625,0.0625,False,0.0
0.31,0.5,0.36,0.3,-1,0.8869204367171575,1.2113107351202588,1.071351201948552,1.3050607351202588,1.165101201948552,0.13995953317170673,0.13995953317170673,0.09375,0.09375,False,0.0
0.31,0.5,0.36,0.3,1,1.1274968515793757,1.2113107351202588,1.071351201948552,1.1175607351202588,0.977601201948552,0.13995953317170673,0.13995953317170673,0.09375,0.09375,False,0.0
0.31,0.5,0.36,0.4,-1,0.8521437889662113,1.2113107351202588,1.071351201948552,1.3363107351202588,1.196351201948552,0.13995953317170673,0.13995953317170673,0.125,0.125,False,0.0
0.31,0.5,0.36,0.4,1,1.1735108709918103,1.2113107351202588,1.071351201948552,1.0863107351202588,0.946351201948552,0.13995953317170673,0.13995953317170673,0.125,0.125,False,0.0
0.31,0.5,0.36,0.5,-1,0.8187307530779818,1.2113107351202588,1.071351201948552,1.3675607351202588,1.227601201948552,0.13995953317170673,0.13995953317170673,0.15625,0.15625,True,0.0
0.31,0.5,0.36,0.5,1,1.2214027581601699,1.2113107351202588,1.071351201948552,1.0550607351202588,0.915101201948552,0.13995953317170673,0.13995953317170673,0.15625,0.15625,True,0.0
0.31,0.5,0.36,0.6,-1,0.7866278610665535,1.2113107351202588,1.071351201948552,1.3988107351202588,1.258851201948552,0.13995953317170673,0.13995953317170673,0.1875,0.1875,True,0.0
0.31,0.5,0.36,0.6,1,1.2712491503214047,1.2113107351202588,1.071351201948552,1.0238107351202588,0.883851201948552,0.13995953317170673,0.13995953317170673,0.1875,0.1875,True,0.0
