protocol,scenario,architecture,needs_p10,needs_median,needs_p90,ecology_p10,ecology_median,ecology_p90,rights_p10,rights_median,rights_p90,democracy_p10,democracy_median,democracy_p90,recovery_p10,recovery_median,recovery_p90,administrative_burden_p10,administrative_burden_median,administrative_burden_p90,capture_p10,capture_median,capture_p90,coercive_concentration_p10,coercive_concentration_median,coercive_concentration_p90,joint_pass_rate,catastrophic_rate
base,external_attack,cct_v08,74.30448519081064,80.11988698196483,85.64585147128804,88.93130863206498,92.8000543325501,96.32710308181358,84.73299024857354,90.17328045869442,94.46070940561152,86.7606161711787,92.435776923696,96.88037794281932,84.67434697310311,89.40524715444278,93.80962507818512,3.0393117196947843,7.300477704345672,12.42249105182528,1.0150508864116883,5.081889364557252,9.499277157663592,1.1121330255740438,5.391633873014584,10.724776154087795,0.999,0.0
base,external_attack,cct_v01,51.16812825009159,58.01651364497113,64.40357084023734,83.27341033505691,87.05957607982177,90.84993782191172,80.03565763665989,84.66569597118797,88.5971831849309,85.61749549785091,90.67043451830439,95.09976266814424,70.68515335528916,76.3256660727956,81.61881720721952,12.933139366327007,18.569695627313813,24.06914407980611,6.114392120529828,11.083500406133691,16.05186562046759,1.6811745519759351,5.714721785088226,10.483969787855862,0.0865,0.0005
base,external_attack,central_state,66.09406358566804,72.10114355503843,77.6145000915551,84.24271434166252,88.6468283635758,92.61427940644037,54.41953661163452,62.97982844808492,71.30664420370142,52.65782304082438,61.04152230307644,69.37445480817314,61.99632026457801,67.85613029170074,73.40949935633796,1.7530934188250384,6.064127281454129,10.646296580463508,13.352104647197585,18.559055512295444,23.43181411012062,23.646615631749754,32.1790155636817,40.676752918066,0.3375,0.0015
base,external_attack,market_federation,61.8637969635031,68.30808950983283,74.52794393615142,75.25418703115471,79.95311802257278,84.84728405617548,74.16632589357857,80.43464998604483,85.9874343738012,75.16355014623119,81.76293395136605,87.7099813625817,74.46539218000956,80.16095669605417,85.24013717975386,4.754666894071883,9.553122443448114,14.714043973616894,9.243755025609518,14.38392700950601,19.569736951264133,6.774271727794983,12.493213760876982,19.190380098683544,0.7475,0.0
base,transition_sabotage,cct_v08,70.67244343225231,77.39662572387756,83.21365444492996,88.91338442311442,93.44063770284251,97.28069598164012,87.18888329120934,91.6699484576742,95.65785599102358,85.41737539270517,90.70981665566671,95.03972594861676,81.839310407153,87.10843362178453,91.5021865484817,4.746474946970407,9.873413827944368,15.570388740811143,4.100906095782592,8.28491149826176,13.530040973188205,1.0541022798235442,4.7822874577498435,9.175846592490442,0.991,0.0
base,transition_sabotage,cct_v01,44.17606554063983,51.59551431091856,59.31661775070113,84.85340979498972,89.8932359421544,93.94035713854409,80.61316164025078,85.33719975330894,89.6713441821924,76.00964674017804,81.42943710678333,86.48781243373199,61.96744398107154,68.36999250487646,73.92007679884946,18.42671475541351,24.9819820684706,31.62116879204891,8.987028730434869,13.782789195279012,19.299464293481,2.2809523476601687,6.179736768193381,10.484178375721212,0.0085,0.0205
base,transition_sabotage,central_state,67.29153356471193,73.7311531554339,79.76323929707023,79.48138021270988,85.45105897280155,91.00874138315466,68.58535760949518,74.62037159988539,80.92192964311111,59.55502213945647,66.67973534875546,73.5860168624752,64.48928978022568,70.27548904204377,76.34933620105531,2.8123080135552403,7.728268056552135,13.585535037465123,9.025744973382833,14.684821887292925,20.336980133731284,14.097575560510913,20.173934904858978,26.314158654280586,0.8295,0.0
base,transition_sabotage,market_federation,43.26280383955425,50.530866294596706,57.32548161467324,67.39282650974707,73.63810830087857,80.08782356005092,87.45625003360134,91.140623699631,94.61132066259319,85.03600047797974,89.47486518286543,93.67963162162293,70.25317184448474,76.22213140480284,81.77496824356852,6.789438382420406,12.677239457002738,19.0520476282435,28.274218601493914,34.16398562547603,40.040397754463264,0.0,2.7661279406552293,6.316665151824973,0.003,0.033
base,institutional_complexity,cct_v08,90.348473547596,93.7846002833721,97.23002081605604,93.04181589699802,96.24564283699762,99.35537186894332,84.00074934001313,88.44426488343575,92.43867557122826,80.73939024529659,85.8786084090251,90.61463586394413,100.0,100.0,100.0,9.854872785381392,14.584254114895833,20.209681837010596,5.294718041458875,9.18985471628602,13.386715213296045,0.0,3.088891842166259,6.476889100399249,1.0,0.0
base,institutional_complexity,cct_v01,78.35740321156604,82.43420798030381,86.33848280977028,89.14795221390868,92.38318890721939,95.56431386470584,61.341353930988575,66.65682744776126,72.30588436528637,52.94088469479665,59.38217924898625,65.48710103533278,87.86074370966993,92.61171031425137,97.64077204971852,34.928875751166586,42.207169265395656,48.8415943418048,23.335267748687443,28.133950324709204,32.89459759614994,1.0204266652648262,4.447651211674742,8.058477299905684,0.4195,0.0
base,institutional_complexity,central_state,86.61085101776017,90.18778615369325,93.48903711315923,88.63206468941588,92.04433577777161,95.4828865538877,74.09574144255863,78.73831956724348,83.44640999372687,68.10108421016439,73.418061368956,78.40325280398564,94.02248372246375,98.36176681492917,100.0,18.084688486362854,23.507557554222906,29.20996842208927,20.71314948186177,25.37711661288336,29.99301946641545,6.574167956441962,10.408706503476342,14.319954190992473,0.9995,0.0
base,institutional_complexity,market_federation,88.86202629919794,92.38481437150318,95.70486657808186,84.4669365026661,88.21455122100457,91.95205666769255,80.03253419298375,84.33575030414585,88.70871739203075,75.12312135267226,80.53106842015927,85.50356405218145,100.0,100.0,100.0,12.469015707432513,17.78678439419403,23.37359624282587,13.101593744410579,17.535510070099512,21.981668322283177,3.811397998715332,7.208986159109645,10.883760760015615,1.0,0.0
broad_uncertainty,water_coordination,cct_v08,87.4846386309297,95.0714002948113,100.0,87.5001366038606,94.64378581140343,98.84975495318052,87.54484947046761,94.18125118943611,99.06176061711363,86.80461451814195,93.88193408619435,98.6609487671033,84.64878653090587,90.212962556278,94.83601004808725,9.615741743230902,20.727036703442394,35.217153987161595,0.0,5.047178408151938,12.926889545943336,0.0,3.7789477322524156,9.771159403029715,1.0,0.0
