critical_ratio,resonance_ratio,gradient_ratio,energy_ratio,radial_ratio,radial_sign_agrees,lambda_critical_sd,lambda_critical_maxwell,cancellation_gap
0.31,0.55625,0.875,0.7607355881445607,1.1324936485441734,True,-0.9598486685753076,-1.428909778463727,0.4690611098884194
0.31,0.55625,1.0,0.7607355881445607,1.1859870245504325,True,-0.92683481548181,-1.4449357729457768,0.5181009574639668
0.31,0.55625,1.125,0.7607355881445607,1.240693925063692,True,-0.8960164617093003,-1.4613253252831162,0.5653088635738159
0.31,0.55625,1.25,0.7607355881445607,1.2966561179801521,True,-0.8671816463612225,-1.4780909486525902,0.6109093022913676
0.31,0.55625,1.375,0.7607355881445607,1.3539173102361681,True,-0.8401448424270517,-1.4952457371449663,0.6551008947179147
0.31,0.55625,1.5,0.7607355881445607,1.4125232616524555,True,-0.8147429606234481,-1.512803399871335,0.698060439247887
0.31,0.55625,1.625,0.7607355881445607,1.4725219068943722,True,-0.7908320569059504,-1.5307782975009951,0.7399462405950448
0.31,0.55625,1.75,0.7607355881445607,1.5339634862314373,True,-0.7682846032144935,-1.549185481435489,0.7809008782209955
0.31,0.55625,1.875,0.7607355881445607,1.5969006858457457,True,-0.7469872121600828,-1.5680407358433726,0.8210535236832898
0.31,0.55625,2.0,0.7607355881445607,1.6613887885128569,True,-0.7268387299435554,-1.587360622802462,0.8605218928589066
0.31,0.565625,0.0,0.7426869258296632,0.790587910750846,True,-1.2879667612528216,-1.3710365908998643,0.08306982964704268
0.31,0.565625,0.125,0.7426869258296632,0.8363177206357418,True,-1.2268978916138962,-1.3815733285207499,0.1546754369068537
0.31,0.565625,0.25,0.7426869258296632,0.8827558628398935,True,-1.1713580187687926,-1.392273275037871,0.22091525626907837
0.31,0.565625,0.375,0.7426869258296632,0.9299189233982299,True,-1.1206287925860658,-1.4031402520874576,0.2825114595013918
0.31,0.565625,0.5,0.7426869258296632,0.9778240102487907,True,-1.0741111386944815,-1.4141782015589424,0.34006706286446087
0.31,0.565625,0.625,0.7426869258296632,1.0264887739235184,True,-1.0313014892784411,-1.4253911903623873,0.39408970108394614
0.31,0.565625,0.75,0.7426869258296632,1.0759314292312614,True,-0.9917734800693571,-1.4367834154245263,0.4450099353551692
0.31,0.565625,0.875,0.7426869258296632,1.1261707779889407,True,-0.9551637010999896,-1.4483592089263195,0.4931955078263299
0.31,0.565625,1.0,0.7426869258296632,1.1772262328604772,True,-0.9211604910423694,-1.4601230437957493,0.5389625527533799
0.31,0.565625,1.125,0.7426869258296632,1.229117842366977,True,-0.8894950427541347,-1.472079539470489,0.5825844967163544
0.31,0.565625,1.25,0.7426869258296632,1.2818663171358666,True,-0.8599342823714355,-1.4842334679460427,0.6242991855746072
0.31,0.565625,1.375,0.7426869258296632,1.3354930574611752,True,-0.8322751226345751,-1.496589760125988,0.664314637491413
0.31,0.565625,1.5,0.7426869258296632,1.3900201822520188,True,-0.8063397906797947,-1.5091535124920823,0.7028137218122876
0.31,0.565625,1.625,0.7426869258296632,1.4454705594515471,True,-0.7819720030027787,-1.5219299941131774,0.7399579911103987
0.31,0.565625,1.75,0.7426869258296632,1.5018678380142427,True,-0.7590338136386776,-1.5349246540132047,0.775890840374527
0.31,0.565625,1.875,0.7426869258296632,1.5592364815355195,True,-0.737403001262203,-1.5481431289198637,0.8107401276576607
0.31,0.565625,2.0,0.7426869258296632,1.617601803634076,True,-0.7169708906802612,-1.5615912514171777,0.8446203607369165
0.31,0.575,0.0,0.7260049481886147,0.7932284813899573,True,-1.29678752253151,-1.41686196457696,0.12007444204545004
0.31,0.575,0.125,0.7260049481886147,0.8385836524220152,True,-1.2327109457501089,-1.4238625368145033,0.1911515910643944
0.31,0.575,0.25,0.7260049481886147,0.884389239577078,True,-1.1746684875762836,-1.4309326307964099,0.25626414322012625
0.31,0.575,0.375,0.7260049481886147,0.9306519858703352,True,-1.1218461232493828,-1.4380732873073108,0.31622716405792795
0.31,0.575,0.5,0.7260049481886147,0.9773787695882968,True,-1.073569947057013,-1.4452855680109693,0.37171562095395627
0.31,0.575,0.625,0.7260049481886147,1.0245766076979814,True,-1.0292772676134339,-1.452570555976491,0.42329328836305713
0.31,0.575,0.75,0.7260049481886147,1.0722526593597315,True,-0.9884945748279347,-1.4599293562205253,0.47143478139259065
0.31,0.575,0.875,0.7260049481886147,1.1204142295473467,True,-0.950820545280739,-1.467363096266034,0.516542550985295
0.31,0.575,1.0,0.7260049481886147,1.1690687727793845,True,-0.9159127911706824,-1.474872926718218,0.5589601355475355
0.31,0.575,1.125,0.7260049481886147,1.2182238969656287,True,-0.883477424832715,-1.4824600218582182,0.5989825970255033
0.31,0.575,1.25,0.7260049481886147,1.2678873673728928,True,-0.8532607647391758,-1.4901255802552398,0.636864815516064
0.31,0.575,1.375,0.7260049481886147,1.3180671107145048,True,-0.8250426872396832,-1.4978708253977626,0.6728281381580794
0.31,0.575,1.5,0.7260049481886147,1.3687712193679924,True,-0.7986312552536442,-1.5056970063445412,0.707065751090897
0.31,0.575,1.625,0.7260049481886147,1.4200079557256833,True,-0.7738583466449717,-1.513605398396121,0.7397470517511494
0.31,0.575,1.75,0.7260049481886147,1.471785756683136,True,-0.7505760717441856,-1.5215973037876271,0.7710212320434415
0.31,0.575,1.875,0.7260049481886147,1.5241132382705178,True,-0.7286538186761965,-1.5296740524036176,0.8010202337274211
0.31,0.575,2.0,0.7260049481886147,1.5769992004322728,True,-0.7079758017810013,-1.5378370025158254,0.8298612007348242
0.31,0.584375,0.0,0.7106249778774675,0.7968035873948668,True,-1.3051616273319968,-1.4634406320679265,0.1582790047359297
0.31,0.584375,0.125,0.7106249778774675,0.8417095488291828,True,-1.238207138213935,-1.4666115097390124,0.22840437152507742
0.31,0.584375,0.25,0.7106249778774675,0.8868105308204636,True,-1.1777869409962687,-1.4697961581057861,0.29200921710951744
0.31,0.584375,0.375,0.7106249778774675,0.9321078065554628,True,-1.122988988332092,-1.472994667069885,0.350005678737793
0.31,0.584375,0.5,0.7106249778774675,0.9776026603277272,True,-1.0730634231710072,-1.4762071273172133,0.40314370414620604
0.31,0.584375,0.625,0.7106249778774675,1.0232963876589765,True,-1.0273880602931666,-1.4794336303265134,0.4520455700333468
0.31,0.584375,0.75,0.7106249778774675,1.0691902954220753,True,-0.9854423236695308,-1.48267426837805,0.4972319447085193
0.31,0.584375,0.875,0.7106249778774675,1.115285701965631,True,-0.9467873178279435,-1.4859291345624073,0.5391418167344638
0.31,0.584375,1.0,0.7106249778774675,1.1615839372402283,True,-0.9110504125097243,-1.489198322789401,0.5781479102796767
0.31,0.584375,1.125,0.7106249778774675,1.208086342926341,True,-0.8779131914977787,-1.4924819277971137,0.6145687362993351
0.31,0.584375,1.25,0.7106249778774675,1.2547942725639352,True,-0.8471019391331852,-1.4957800451610437,0.6486781060278585
